order_id,customer_name,region,city,product_category,sales_amount,profit,discount_percent,quantity,payment_method,order_date,customer_rating,year
ORD10016,Roy Durham,West,Mumbai,Fashion,2467.92,776.24,20.0,10,Upi,2024-07-06,4.0,2024
ORD10017,Matthew Ryan,South,Chennai,Electronics,5785.62,1162.86,10.0,2,Cash,2024-02-25,2.0,2024
ORD10018,Jason Olson MD,North ,Kochi,Electronics,2729.94,148.63,0.0,8,Cod,2024-03-08,1.0,2024
ORD10019,Nicole Valencia,West,Kochi,Fashion,1469.24,-159.45,15.0,8,Net Banking,2025-02-10,4.0,2025
ORD10020,William Lewis,East,Bangalore,Electronics,8664.12,2829.05,20.0,8,Cod,2023-10-20,3.0,2023
ORD10021,Lisa Butler,North ,Kochi,Fashion,4435.56,276.04,20.0,3,Upi,2023-02-28,2.0,2023
ORD10022,Christina Camacho,North ,Kochi,Beauty,5168.82,1497.19,5.0,10,Cod,2024-02-18,3.0,2024
ORD10023,Amber Williams PhD,South,Chennai,Beauty,1438.13,-39.12,10.0,7,Upi,2024-02-18,5.0,2024
ORD10024,Colleen Barry,East,Kochi,Fashion,3639.04,-581.18,5.0,9,Cash,2024-07-30,5.0,2024
ORD10025,Unknown,North ,Chennai,Unknown,5277.31,1800.19,10.0,9,Cash,2024-12-21,1.0,2024
ORD10026,Regina Porter,South,Hyderabad,Unknown,2122.52,-106.57,20.0,4,Cod,2025-01-30,1.0,2025
ORD10027,Scott Greene,South,Hyderabad,Home,5939.25,1521.29,0.0,1,Net Banking,2023-04-05,4.0,2023
ORD10028,Christina Price,East,Delhi,Sports,34984.0,-5549.02,10.0,3,Cash,2023-04-05,3.0,2023
ORD10029,Rebekah Morris,South,Kochi,Home,4270.77,-760.44,10.0,4,Net Banking,2025-03-26,3.0,2025
ORD10030,Tracy Valdez,North,Bangalore,Unknown,3495.73,-243.98,5.0,3,Net Banking,2023-06-08,3.0,2023
ORD10031,Sarah Miller,North,Mumbai,Fashion,9630.7,-1082.89,10.0,2,Net Banking,2025-04-10,2.0,2025
ORD10032,Mrs. Heather Camacho,East,Chennai,Unknown,49662.60000000001,-4657.29,10.0,5,Upi,2023-08-17,5.0,2023
ORD10033,Christina Barrett,East,Kochi,Electronics,2355.72,-321.7,10.0,3,Card,2023-12-06,3.0,2023
ORD10034,Gregory Wolfe,North,Hyderabad,Beauty,6434.746725025747,573.56,15.0,10,Cod,2024-03-22,3.0,2024
ORD10035,Mary Arellano,South,Kochi,Unknown,1947.89,0.63,0.0,6,Cod,2025-01-24,4.0,2025
ORD10036,Kelly Doyle,West,Hyderabad,Unknown,5522.16,-206.47,5.0,4,Cod,2023-12-01,4.0,2023
ORD10037,Stanley Beck,North ,Hyderabad,Home,100.82,-3.31,5.0,7,Net Banking,2024-07-15,5.0,2024
ORD10038,Pedro Warren,East,Delhi,Unknown,1679.53,550.73,10.0,3,Card,2024-04-29,2.0,2024
ORD10039,Unknown,West,Delhi,Electronics,5492.15,1337.94,5.0,1,Upi,2024-11-19,3.0,2024
ORD10040,Linda Moore,North,Mumbai,Fashion,6846.17,135.62,5.0,1,Upi,2024-12-14,1.0,2024
ORD10041,Melinda Sparks,South,Delhi,Sports,5428.42,1447.14,15.0,3,Net Banking,2024-07-24,3.0,2024
ORD10042,Crystal Hall,West,Mumbai,Home,4710.88,1407.47,15.0,3,Upi,2024-05-31,5.0,2024
ORD10043,Bonnie Ramsey,East,Chennai,Sports,4247.24,-207.99,0.0,5,Cash,2024-05-11,3.0,2024
ORD10044,Michael Nguyen,West,Kochi,Fashion,1303.7,-214.69,15.0,6,Net Banking,2023-06-06,5.0,2023
ORD10045,Laura Galloway,East,Chennai,Beauty,32003.9,9100.67,20.0,7,Net Banking,2024-12-13,3.0,2024
ORD10046,Marcus Holt,West,Kochi,Beauty,3848.4,1130.65,15.0,4,Upi,2024-07-13,3.0,2024
ORD10047,Unknown,West,Delhi,Sports,7642.81,2336.77,20.0,9,Upi,2023-06-19,2.0,2023
ORD10048,Michael Hernandez,East,Chennai,Beauty,5859.05,-1009.77,15.0,6,Net Banking,2025-06-06,1.0,2025
ORD10049,Michael Chaney,South,Kochi,Electronics,5924.0,572.74,10.0,4,Cash,2024-04-26,5.0,2024
ORD10050,Kathleen Robertson,West,Hyderabad,Home,5810.21,351.28,0.0,10,Cash,2023-06-06,3.0,2023
ORD10051,Mrs. Elizabeth Jones,East,Delhi,Unknown,4037.29,1011.81,10.0,2,Net Banking,2025-01-05,3.0,2025
ORD10052,Samuel Gardner,East,Hyderabad,Sports,3307.69,594.85,10.0,4,Cod,2023-07-23,3.0,2023
ORD10053,Unknown,West,Mumbai,Electronics,6529.19,24.9,20.0,6,Card,2024-06-29,4.0,2024
ORD10054,Chad Clark,North ,Mumbai,Beauty,7577.5,-781.43,20.0,5,Upi,2024-12-25,3.0,2024
ORD10055,Brenda Williams,West,Delhi,Sports,7328.2,2301.36,10.0,8,Card,2024-12-25,3.0,2024
ORD10056,Savannah Duffy,North ,Hyderabad,Home,2901.96,-14.06,10.0,6,Cod,2023-07-06,1.0,2023
ORD10057,Catherine Todd,West,Mumbai,Electronics,4226.97,290.47,5.0,8,Cash,2023-09-05,2.0,2023
ORD10058,Troy Walker,South,Delhi,Home,5828.16,17.26,20.0,9,Net Banking,2023-11-10,3.0,2023
ORD10059,Kevin Curtis,South,Bangalore,Fashion,7438.86,-699.84,0.0,9,Net Banking,2023-08-25,5.0,2023
ORD10060,Thomas Stuart,East,Bangalore,Home,6434.746725025747,-168.62,0.0,4,Cod,2025-02-17,1.0,2025
ORD10061,Joseph Ramirez,North,Delhi,Home,4535.85,832.69,5.0,8,Net Banking,2023-02-25,1.0,2023
ORD10062,Michelle Reynolds,North,Hyderabad,Unknown,2234.16,140.2,0.0,7,Cash,2023-09-16,3.0,2023
ORD10063,Richard Villegas,North ,Bangalore,Sports,2009.48,-270.98,15.0,10,Net Banking,2023-03-29,5.0,2023
ORD10064,Lauren Hansen,South,Hyderabad,Fashion,7031.31,995.39,20.0,2,Upi,2024-03-15,2.0,2024
ORD10065,Ashley Cooper,North,Bangalore,Home,8390.6,-1665.77,15.0,10,Upi,2024-07-19,1.0,2024
ORD10066,Monica Valdez,South,Mumbai,Electronics,4819.97,-262.66,10.0,10,Upi,2024-12-04,3.0,2024
ORD10067,Alyssa Silva,North ,Chennai,Beauty,7508.83,-1255.47,10.0,10,Upi,2025-04-26,4.0,2025
ORD10068,Unknown,West,Hyderabad,Home,5904.09,422.66,0.0,10,Upi,2023-10-06,3.0,2023
ORD10069,Mark Reid,South,Mumbai,Sports,3387.2,416.35,0.0,5,Card,2025-05-06,5.0,2025
ORD10070,Kenneth White,East,Chennai,Unknown,5903.49,415.9,0.0,8,Cash,2024-03-22,3.0,2024
ORD10071,Tara Mitchell,East,Chennai,Home,8845.09,2829.16,20.0,1,Net Banking,2024-05-22,1.0,2024
ORD10072,John Summers,North ,Mumbai,Unknown,4910.43,265.59,0.0,4,Upi,2024-11-04,5.0,2024
ORD10073,Kelly Carroll,South,Delhi,Fashion,8911.61,365.05,10.0,8,Card,2023-05-15,5.0,2023
ORD10074,Kelly Pearson,South,Bangalore,Beauty,-1549.36,-535.68,0.0,8,Card,2024-02-22,3.0,2024
ORD10075,Natasha Cook,West,Bangalore,Sports,7054.76,2392.51,5.0,8,Cash,2024-03-01,3.0,2024
ORD10076,Kristen Hunter,East,Hyderabad,Home,5217.62,147.23,20.0,5,Cod,2025-03-02,4.0,2025
ORD10077,Randy Miles,North ,Mumbai,Beauty,4252.48,409.17,10.0,6,Cash,2025-06-05,2.0,2025
ORD10078,Frank Morgan,West,Hyderabad,Beauty,5229.4,1416.16,15.0,1,Upi,2024-08-08,3.0,2024
ORD10079,Joshua Day,North,Mumbai,Electronics,31.08,-5.58,20.0,10,Net Banking,2024-08-08,2.0,2024
ORD10080,Molly Wright,East,Chennai,Sports,4450.82,1484.24,0.0,8,Upi,2024-02-24,3.0,2024
ORD10081,Justin Perez,North,Delhi,Electronics,5892.78,550.93,10.0,8,Upi,2025-05-22,2.0,2025
ORD10082,Benjamin Herring,South,Chennai,Electronics,8694.74,2939.57,10.0,2,Upi,2025-02-03,3.0,2025
ORD10083,Kevin Rosales,North,Delhi,Beauty,3704.32,341.32,20.0,3,Cash,2024-03-17,5.0,2024
ORD10084,Lisa Smith,West,Chennai,Unknown,2978.77,449.34,15.0,5,Upi,2023-05-27,3.0,2023
ORD10085,Mr. Jose Shaw,East,Bangalore,Beauty,3745.61,1232.74,10.0,5,Upi,2024-08-24,5.0,2024
ORD10086,Ryan Garrett,South,Mumbai,Home,6434.746725025747,2521.68,10.0,1,Upi,2024-01-03,1.0,2024
ORD10087,Dana Miranda,East,Bangalore,Unknown,5821.88,1502.4,10.0,4,Card,2024-09-12,3.0,2024
ORD10088,Allison Houston,South,Kochi,Home,3675.6,959.65,10.0,2,Upi,2025-02-24,3.0,2025
ORD10089,Julie Johnston,South,Delhi,Home,6283.17,-236.81,10.0,7,Card,2023-05-15,3.0,2023
ORD10090,Norman Neal,West,Kochi,Fashion,5242.69,1740.89,10.0,6,Cash,2025-04-24,3.0,2025
ORD10091,Eric Johnson,West,Kochi,Home,7421.61,2463.96,20.0,6,Net Banking,2024-11-21,3.0,2024
ORD10092,Erica Howard,South,Mumbai,Electronics,3244.87,31.03,10.0,6,Cod,2024-11-19,5.0,2024
ORD10093,Mr. Roy Martinez,North,Bangalore,Electronics,4180.84,624.92,15.0,5,Card,2023-08-15,1.0,2023
ORD10094,Susan Dunn,South,Hyderabad,Sports,4019.73,384.49,15.0,8,Upi,2023-04-10,4.0,2023
ORD10095,Unknown,East,Bangalore,Beauty,1341.21,92.73,15.0,5,Cash,2024-11-01,1.0,2024
ORD10096,Vickie Rogers,East,Bangalore,Electronics,5740.3,1698.74,10.0,6,Net Banking,2024-12-03,2.0,2024
ORD10097,Chelsea Andrews,South,Delhi,Fashion,5652.64,1888.55,0.0,6,Cod,2024-10-19,2.0,2024
ORD10098,Unknown,South,Bangalore,Sports,5012.78,-96.71,5.0,10,Cash,2025-04-12,1.0,2025
ORD10099,Scott Burnett,South,Chennai,Electronics,44135.3,10349.36,5.0,10,Net Banking,2023-05-15,3.0,2023
ORD10100,Raymond Le,North ,Bangalore,Sports,1461.57,333.11,20.0,10,Upi,2023-03-07,4.0,2023
ORD10101,Nathan Espinoza,North,Mumbai,Unknown,3948.39,-657.59,15.0,7,Upi,2024-10-20,3.0,2024
ORD10102,Jose Smith,East,Mumbai,Sports,4143.21,-541.08,20.0,10,Net Banking,2024-09-14,4.0,2024
ORD10103,Ronald Davis,South,Mumbai,Beauty,2994.31,-410.44,10.0,9,Net Banking,2023-04-12,4.0,2023
ORD10104,Jean Nolan,East,Bangalore,Unknown,4596.79,-678.96,15.0,6,Upi,2024-02-13,1.0,2024
ORD10105,Jessica Moss,North ,Delhi,Sports,6010.13,1259.27,10.0,3,Upi,2023-04-06,3.0,2023
ORD10106,Linda Campbell,East,Kochi,Sports,9715.46,2950.72,0.0,5,Cash,2025-02-07,2.0,2025
ORD10107,Donald Ellison,North ,Bangalore,Beauty,5436.44,1440.41,10.0,2,Cod,2025-05-17,3.0,2025
ORD10108,Unknown,East,Hyderabad,Home,56438.8,17552.26,10.0,5,Card,2025-05-17,2.0,2025
ORD10109,Christine Martinez,North ,Bangalore,Beauty,4813.89,-778.54,10.0,1,Card,2024-08-02,3.0,2024
ORD10110,Teresa Rodriguez,South,Bangalore,Sports,203.07,64.53,20.0,2,Upi,2025-01-08,3.0,2025
ORD10111,Robert Brown,North,Chennai,Beauty,4933.72,212.76,10.0,4,Upi,2024-03-10,4.0,2024
ORD10112,Lori Daniel,South,Chennai,Fashion,5150.58,-901.46,15.0,10,Card,2024-06-23,1.0,2024
ORD10113,Angela Mcfarland,South,Delhi,Sports,11158.11,411.29,5.0,7,Card,2023-01-08,3.0,2023
ORD10114,Jill Chapman,North ,Mumbai,Unknown,4519.1,238.9,0.0,6,Card,2023-02-13,1.0,2023
ORD10115,Bobby Yang,North,Bangalore,Beauty,5753.87,1848.07,15.0,6,Cod,2023-11-29,3.0,2023
ORD10116,Dawn Mclaughlin,North,Delhi,Sports,4913.22,-82.6,5.0,2,Card,2025-02-02,3.0,2025
ORD10117,Justin Moore,South,Hyderabad,Electronics,2078.3,-298.15,10.0,4,Upi,2025-04-14,5.0,2025
ORD10118,Misty Anderson,South,Chennai,Fashion,7857.06,1372.03,20.0,10,Net Banking,2025-02-17,3.0,2025
ORD10119,Zachary Townsend,West,Kochi,Electronics,6879.83,-1163.42,20.0,2,Card,2025-03-26,1.0,2025
ORD10120,Rachel Bailey,South,Kochi,Beauty,6977.58,80.0,20.0,9,Cod,2024-09-21,3.0,2024
ORD10121,Natasha Daniel,East,Hyderabad,Electronics,2726.53,-319.08,0.0,8,Cash,2024-09-21,3.0,2024
ORD10122,Melanie Smith,East,Mumbai,Beauty,8506.99,750.64,20.0,3,Upi,2024-03-24,3.0,2024
ORD10123,Sarah Medina,South,Hyderabad,Sports,1495.37,-27.92,20.0,7,Card,2024-10-24,3.0,2024
ORD10124,James Pearson,South,Kochi,Home,6467.14,-189.96,10.0,7,Upi,2023-05-25,2.0,2023
ORD10125,Timothy Jackson,South,Mumbai,Sports,10476.14,3361.9,10.0,9,Card,2024-11-17,2.0,2024
ORD10126,Madison Hunt,East,Kochi,Sports,2523.66,170.22,5.0,3,Upi,2023-12-16,1.0,2023
ORD10127,William Barber,South,Bangalore,Unknown,3584.26,793.8,5.0,10,Cash,2024-11-08,1.0,2024
ORD10128,Dalton Park,South,Mumbai,Fashion,5249.13,1027.63,15.0,10,Card,2024-02-25,4.0,2024
ORD10129,Amanda Harris,East,Mumbai,Sports,3741.31,647.5,20.0,8,Cash,2025-05-05,5.0,2025
ORD10130,Douglas Morrison,North,Hyderabad,Sports,1123.34,-192.43,15.0,6,Card,2023-05-22,2.0,2023
ORD10131,Kathleen Boyd,South,Mumbai,Home,5171.41,425.83,15.0,2,Net Banking,2023-10-07,5.0,2023
ORD10132,Unknown,North,Hyderabad,Unknown,2344.24,813.43,10.0,4,Cash,2024-01-18,3.0,2024
ORD10133,Dawn Clark,North,Kochi,Electronics,6183.98,1589.97,10.0,8,Cash,2025-04-29,3.0,2025
ORD10134,Wendy Barnes,North,Bangalore,Beauty,2701.44,-375.09,10.0,4,Cod,2024-09-15,1.0,2024
ORD10135,Michael Thomas,South,Bangalore,Home,8874.84,1137.81,0.0,9,Cod,2025-05-06,5.0,2025
ORD10136,Anita Clark,North ,Delhi,Sports,3041.87,509.57,20.0,6,Cod,2024-03-02,4.0,2024
ORD10137,Cody Cohen,East,Kochi,Home,4194.85,627.63,10.0,5,Upi,2025-06-13,5.0,2025
ORD10138,Robert Clark,South,Bangalore,Unknown,7033.79,-890.65,10.0,9,Upi,2025-01-22,2.0,2025
ORD10139,Michael Hoffman,North,Bangalore,Electronics,1922.84,372.69,15.0,1,Card,2025-04-10,5.0,2025
ORD10140,Joe Barnes,North,Hyderabad,Home,5568.65,1193.42,5.0,5,Card,2024-04-29,4.0,2024
ORD10141,John Rivera,West,Chennai,Sports,8267.86,2695.85,10.0,3,Upi,2025-01-31,1.0,2025
ORD10142,Caitlin Mosley,North,Chennai,Unknown,981.29,247.57,20.0,5,Net Banking,2024-03-16,4.0,2024
ORD10143,Karen Casey,West,Chennai,Unknown,5461.58,-36.31,0.0,6,Upi,2023-06-20,3.0,2023
ORD10144,Mark Evans,South,Delhi,Unknown,5649.71,1359.34,10.0,3,Upi,2024-02-20,2.0,2024
ORD10145,Ms. Heather Hill,South,Mumbai,Home,6954.56,-5.68,20.0,1,Upi,2025-03-08,5.0,2025
ORD10146,Unknown,South,Mumbai,Sports,1907.62,299.99,5.0,2,Cod,2024-01-11,3.0,2024
ORD10147,Carol Barker,South,Kochi,Beauty,1698.86,591.2,10.0,8,Upi,2024-12-21,1.0,2024
ORD10148,Deborah Silva,North ,Delhi,Home,6304.85,1671.02,10.0,6,Cash,2025-04-09,3.0,2025
ORD10149,Jessica Sanders,South,Bangalore,Beauty,6434.746725025747,-6.77,5.0,2,Cod,2024-10-15,4.0,2024
ORD10150,Kristina Pearson,South,Hyderabad,Beauty,5626.23,-723.68,0.0,2,Net Banking,2025-04-02,1.0,2025
ORD10151,Julie Schwartz,East,Bangalore,Sports,5866.12,899.2,15.0,8,Cash,2023-05-09,2.0,2023
ORD10152,Emily Mann,South,Bangalore,Home,3299.94,915.79,0.0,9,Cash,2024-03-19,5.0,2024
ORD10153,Brian Cummings,South,Chennai,Sports,5580.63,-346.93,10.0,9,Cod,2023-10-18,5.0,2023
ORD10154,Carol Dawson,North ,Kochi,Electronics,5732.68,930.43,10.0,10,Upi,2024-08-17,3.0,2024
ORD10155,Gary Friedman,South,Delhi,Home,3214.12,368.58,20.0,1,Cash ,2024-10-28,3.0,2024
ORD10156,Annette Anderson,West,Mumbai,Fashion,9664.44,-1545.0,0.0,3,Cash,2024-02-20,3.0,2024
ORD10157,Travis Casey II,North ,Delhi,Electronics,6184.58,1691.03,15.0,3,Net Banking,2023-11-23,4.0,2023
ORD10158,Carolyn Mcdaniel,South,Chennai,Sports,2021.74,-348.08,15.0,10,Cash,2023-09-11,4.0,2023
ORD10159,Seth Davis,West,Delhi,Beauty,6641.38,1882.78,15.0,1,Cash,2024-06-11,1.0,2024
ORD10160,Maria Page,North,Kochi,Beauty,2563.3,329.73,10.0,8,Card,2023-02-21,4.0,2023
ORD10161,Barry Jones,East,Kochi,Beauty,6967.71,-1197.49,20.0,4,Cod,2024-01-10,5.0,2024
ORD10162,Elizabeth Nixon,East,Delhi,Home,7896.49,-1020.5,0.0,7,Cash,2024-11-27,4.0,2024
ORD10163,Barry Jones,North ,Mumbai,Fashion,2948.29,-526.56,10.0,6,Cod,2024-05-27,5.0,2024
ORD10164,Matthew Rodriguez,North ,Delhi,Sports,7408.44,2554.72,10.0,5,Cod,2023-11-23,1.0,2023
ORD10165,Raymond Bowman,South,Hyderabad,Unknown,6434.746725025747,-842.77,15.0,10,Net Banking,2024-01-13,3.0,2024
ORD10166,Michael Velasquez,South,Delhi,Unknown,7055.15,833.64,5.0,1,Net Banking,2025-03-12,3.0,2025
ORD10167,Unknown,East,Mumbai,Fashion,9741.98,3132.17,0.0,4,Cash,2023-09-06,5.0,2023
ORD10168,Nicole Phillips,North ,Chennai,Unknown,4386.53,897.97,0.0,3,Net Banking,2024-04-27,2.0,2024
ORD10169,Jennifer Wood,South,Bangalore,Home,3115.66,-36.52,10.0,5,Cash,2024-04-15,3.0,2024
ORD10170,Jason Williams,East,Delhi,Unknown,2776.21,-238.75,10.0,8,Upi,2025-02-28,5.0,2025
ORD10171,Veronica Benson,East,Hyderabad,Electronics,2960.47,50.31,10.0,3,Net Banking,2024-01-24,3.0,2024
ORD10172,Melissa Johnston,South,Kochi,Sports,4807.25,1227.64,10.0,9,Cash,2024-05-05,3.0,2024
ORD10173,Jeffrey Velasquez,West,Kochi,Unknown,5852.88,-421.06,0.0,7,Upi,2024-06-27,2.0,2024
ORD10174,Karen Flowers,East,Chennai,Home,5691.73,1618.48,15.0,8,Upi,2024-02-21,2.0,2024
ORD10175,Colleen Sweeney,South,Kochi,Beauty,7067.96,1891.97,0.0,3,Cash,2024-07-01,3.0,2024
ORD10176,Paul Carlson,East,Chennai,Beauty,5032.5,-180.59,20.0,2,Cod,2025-06-16,2.0,2025
ORD10177,Stephanie Smith,West,Hyderabad,Home,8633.84,-431.17,0.0,6,Upi,2025-05-21,3.0,2025
ORD10178,John Stone,North ,Chennai,Electronics,4338.36,-406.77,20.0,7,Upi,2024-08-04,2.0,2024
ORD10179,Pamela Gonzalez,East,Chennai,Home,11800.42,-750.2,10.0,7,Cod,2024-08-04,3.0,2024
ORD10180,Karen Huffman,West,Hyderabad,Sports,6564.17,-1088.55,0.0,8,Upi,2024-01-04,3.0,2024
ORD10181,Michael Cole,South,Mumbai,Fashion,2857.11,906.7,10.0,10,Cod,2023-05-01,3.0,2023
ORD10182,Ronald Ayers,South,Delhi,Electronics,2322.77,502.98,10.0,4,Cod,2024-07-16,1.0,2024
ORD10183,Valerie Williams,South,Bangalore,Home,6206.18,1587.7,20.0,4,Net Banking,2024-07-31,2.0,2024
ORD10184,Danielle Bowen,West,Bangalore,Sports,4441.34,-666.12,20.0,8,Cod,2025-01-04,4.0,2025
ORD10185,Michelle Jones,South,Bangalore,Sports,6785.0,1342.1,15.0,5,Net Banking,2024-11-19,1.0,2024
ORD10186,Unknown,West,Bangalore,Fashion,6183.09,1941.62,0.0,8,Upi,2024-07-08,4.0,2024
ORD10187,Ian Schultz,South,Delhi,Fashion,4817.93,49.93,15.0,7,Card,2024-01-19,5.0,2024
ORD10188,Karina West,East,Mumbai,Unknown,2883.02,577.53,5.0,1,Net Banking,2024-02-07,2.0,2024
ORD10189,Unknown,South,Mumbai,Sports,1212.88,-139.1,5.0,2,Upi,2023-09-11,1.0,2023
ORD10190,Terry Lynch,North,Mumbai,Beauty,3883.71,176.87,10.0,1,Cash,2023-04-14,1.0,2023
ORD10191,Taylor Gutierrez,North ,Hyderabad,Home,7141.0,-292.1,10.0,10,Cash,2023-05-24,5.0,2023
ORD10192,Danielle Clark MD,South,Hyderabad,Unknown,5535.23,-269.37,20.0,10,Net Banking,2023-05-24,3.0,2023
ORD10193,Bryan Ryan,East,Mumbai,Fashion,1885.65,437.83,10.0,7,Net Banking,2024-10-20,2.0,2024
ORD10194,Angela Bradley,West,Delhi,Sports,5432.95,-655.25,15.0,1,Cash,2023-11-04,3.0,2023
ORD10195,Mitchell Wells,South,Kochi,Home,5963.29,282.56,10.0,2,Cod,2024-10-24,1.0,2024
ORD10196,Mario Montoya,South,Chennai,Home,2790.36,343.69,10.0,9,Upi,2023-07-12,2.0,2023
ORD10197,Christina Pena,South,Bangalore,Beauty,5384.31,1883.24,15.0,4,Cod,2025-01-29,3.0,2025
ORD10198,David Lawson,West,Mumbai,Electronics,5145.52,806.8,10.0,5,Upi,2024-01-25,3.0,2024
ORD10199,Sara Stewart,North,Chennai,Sports,2142.57,59.27,20.0,4,Cod,2023-07-28,3.0,2023
ORD10200,Jonathan Thompson DDS,South,Hyderabad,Home,5894.47,-433.18,20.0,4,Net Banking,2023-06-06,3.0,2023
ORD10201,Robert Thompson,North ,Mumbai,Fashion,6401.96,-688.03,10.0,3,Cod,2025-01-27,1.0,2025
ORD10202,Derek Collins,West,Bangalore,Unknown,7707.63,2047.79,10.0,1,Upi,2024-06-20,2.0,2024
ORD10203,Roger Weiss,South,Mumbai,Electronics,6434.746725025747,-1273.07,10.0,10,Cod,2024-06-01,1.0,2024
ORD10204,April Gonzalez,South,Hyderabad,Beauty,1555.83,147.27,10.0,1,Cash,2024-06-26,1.0,2024
ORD10205,Katrina Dawson,East,Mumbai,Electronics,2655.44,-250.77,20.0,5,Net Banking,2024-06-20,2.0,2024
ORD10206,Ricky Jones,West,Mumbai,Sports,6287.59,1108.02,0.0,1,Upi,2024-06-20,2.0,2024
ORD10207,Brandon Cunningham,North,Delhi,Electronics,6284.46,242.9,10.0,10,Upi,2023-03-26,4.0,2023
ORD10208,Cory Lee,North,Bangalore,Home,6434.746725025747,-1000.41,10.0,9,Cash,2023-10-05,3.0,2023
ORD10209,Kelly Collins,West,Hyderabad,Sports,14631.83,-2307.21,5.0,10,Upi,2025-04-20,3.0,2025
ORD10210,Brent Johnson,South,Kochi,Home,6427.23,1349.73,10.0,1,Cod,2025-01-11,4.0,2025
ORD10211,Alexandria Thomas,North ,Mumbai,Beauty,7838.91,1166.18,15.0,8,Cod,2025-03-03,1.0,2025
ORD10212,Richard Ward,South,Mumbai,Unknown,7385.0,1764.5,10.0,2,Cash,2025-03-01,3.0,2025
ORD10213,Tanner Brown,East,Kochi,Fashion,6628.48,-1306.76,10.0,8,Net Banking,2024-01-05,5.0,2024
ORD10214,Brian Orozco,North ,Chennai,Beauty,6434.746725025747,-781.53,10.0,9,Net Banking,2024-06-08,1.0,2024
ORD10215,Timothy Perez,South,Mumbai,Fashion,6897.42,2054.49,5.0,10,Card,2025-01-12,2.0,2025
ORD10216,Cheryl Kennedy,East,Chennai,Fashion,3067.94,-147.94,10.0,8,Net Banking,2023-03-06,2.0,2023
ORD10217,Kenneth Powell,West,Chennai,Beauty,4407.95,-142.99,15.0,6,Upi,2024-04-13,2.0,2024
ORD10218,Bradley Curry,West,Chennai,Home,3786.59,1215.51,5.0,8,Upi,2023-11-04,5.0,2023
ORD10219,Mary Compton,North ,Bangalore,Sports,5204.69,35.55,15.0,6,Cash,2025-03-11,5.0,2025
ORD10220,Eric Coleman,East,Hyderabad,Electronics,10786.65,581.32,10.0,4,Net Banking,2023-01-28,2.0,2023
ORD10221,Jay Yang,North,Mumbai,Sports,331.84,-20.25,5.0,7,Net Banking,2024-10-10,3.0,2024
ORD10222,Marcus Griffin,North,Kochi,Fashion,6715.65,1577.48,10.0,9,Card,2024-03-04,5.0,2024
ORD10223,Amanda Rogers,East,Mumbai,Electronics,6434.746725025747,149.85,10.0,7,Card,2023-02-15,3.0,2023
ORD10224,Angela Ortiz,West,Hyderabad,Sports,3820.17,680.81,5.0,8,Cash,2024-06-15,1.0,2024
ORD10225,Shane Lopez,South,Bangalore,Home,7722.38,222.3,0.0,2,Net Banking,2024-05-09,5.0,2024
ORD10226,Robert Davis,East,Kochi,Unknown,5160.7,-755.05,10.0,8,Card,2024-05-09,3.0,2024
ORD10227,Blake Owens,South,Chennai,Sports,2305.64,786.56,5.0,9,Net Banking,2025-03-30,4.0,2025
ORD10228,Unknown,North ,Bangalore,Beauty,3211.74,489.03,15.0,7,Net Banking,2025-03-30,2.0,2025
